"S_ID";"Sname";"Semail";"Spass";"Sphone";"Sadd";"buildnum";"street";"zipcode"
1;"Farrand Pell";"fpell0@sogou.com";"H00DG8Sv";481239621;"9 Iowa Parkway";905;"Green Ridge";24741
2;"Jeri Penchen";"jpenchen1@boston.com";"rUsOOcR6j2";747577518;"407 Express Place";899;"Sloan";20729
3;"Elna Balmadier";"ebalmadier2@homestead.com";"cviAd3sX";799184305;"77 Straubel Point";3136;"Buell";26661
4;"Estell Barlee";"ebarlee3@google.nl";"ZkatYfcCEQU";557408756;"1087 Carey Place";5210;"Macpherson";13950
5;"Drusi Davidofski";"ddavidofski4@amazon.co.uk";"ZzTpTyn";759309149;"4 Messerschmidt Alley";67545;"John Wall";29610
6;"Trula Antcliff";"tantcliff5@ycombinator.com";"FVihBvSKSM";646381130;"515 Northport Alley";609;"Pawling";12102
7;"Angeline Gooday";"agooday6@businesswire.com";"B5Y6p5";386266901;"21972 Shelley Drive";69;"Leroy";16361
8;"Charyl Brunotti";"cbrunotti7@vk.com";"nOYywJKd0";2083996489;"52968 Stoughton Road";70168;"Crowley";27037
9;"Tawsha Cuss";"tcuss8@mlb.com";"eajMJe";706453634;"0 Ilene Drive";186;"Kenwood";14237
10;"Carmita Backshaw";"cbackshaw9@photobucket.com";"FAH0EAt";224173129;"516 Macpherson Trail";91;"Paget";27007
